t_ICD10,description,grouper
P38*,Omphalitis,A
P39*,Other infections specific to the perinatal period,A
P77*,Nectrotizing Enterocolitis,A
R36*,Urethral discharge,A
R7881*,Bacteremia,A
R8271*,Bacteruria,A
S31*,"Open wound of abdomen, lower back, pelvis and external genitals",A
S41*,Open wound of shoulder and upper arm,A
S51*,Open wound of elbow and forearm,A
S61*,"Open wound of wrist, hand and fingers",A
S71*,Open wound of hip or thigh,A
T802*,"Infections following infusion, transfusion and therapeutic injection",A
T826*,Prosthetic cardiac valve infection,A
T827*,Other cardiac device infectino,A
T845*,Infections of internal joint prosthesis,A
T846*,Infection of external fixation,A
T847*,Infection of other internal orthopedic device,A
T84*,"Complications of internal orthopedic prosthetic devices, implants and grafts",A
T85*,"Complications of other internal prosthetic devices, implants and grafts",A
T87*,Complications peculiar to reattachment and amputation,A
T88*,"Other complications of surgical and medical care, not elsewhere classified",A
W53*,contact with rodent,A
W54*,Contact with dog,A
W55*,Contact with other mammals,A
W56*,Contact with marine animal,A
W57*,Bitten or stung by nonvenomous insect and other nonvenomous arthropods,A
W59*,Reptile,A
W60*,Contact with nonvenomous plant thorns and spines and sharp leaves,A
W61*,birds,A
W62*,amphibians,A
Y28*,"Contact with sharp object, undetermined intent",A
Y83*,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",A
Z11*,Encounter for screening for infectious and parasitic diseases,A
Z20*,Contact with and (suspected) exposure to communicable diseases,A
Z21*,Asymptomatic human immunodeficiency virus [HIV] infection status,A
Z22*,Carrier of infectious disease,A
