drug_name,brand_name,ndc_name,product_strength_desc,route_desc,source_nm
cefaclor,Ceclor,2505868,250 mg/5 mL,oral,powder for reconstitution
vancomycin,Vancocin HCl,2510501,250 mg/5 mL,oral,powder for reconstitution
vancomycin,Vancocin HCl,2510516,250 mg/5 mL,oral,powder for reconstitution
cefaclor,Ceclor,2513048,187 mg/5 mL,oral,powder for reconstitution
cefaclor,Ceclor,2513087,187 mg/5 mL,oral,powder for reconstitution
cefaclor,Ceclor,2513248,375 mg/5 mL,oral,powder for reconstitution
cefaclor,Ceclor,2513287,375 mg/5 mL,oral,powder for reconstitution
loracarbef,Lorabid,2513548,100 mg/5 mL,oral,powder for reconstitution
loracarbef,Lorabid,2513587,100 mg/5 mL,oral,powder for reconstitution
loracarbef,Lorabid,2513618,200 mg/5 mL,oral,powder for reconstitution
loracarbef,Lorabid,2513648,200 mg/5 mL,oral,powder for reconstitution
loracarbef,Lorabid,2513687,200 mg/5 mL,oral,powder for reconstitution
cefuroxime,Kefurox,2535116,7.5 g,injectable,powder for injection
cefuroxime,Kefurox,2535725,750 mg,injectable,powder for injection
cefuroxime,Kefurox,2535810,1.5 g,injectable,powder for injection
cefuroxime,Kefurox,2535910,750 mg,injectable,powder for injection
cefuroxime,Kefurox,2536010,1.5 g,injectable,powder for injection
cefuroxime,Kefurox,2536116,7.5 g,injectable,powder for injection
cefuroxime,Kefurox,2536225,750 mg,injectable,powder for injection
cefuroxime,Kefurox,2536310,1.5 g,injectable,powder for injection
cephalothin,Keflin,2700101,1 g,injectable,powder for injection
cephalothin,Keflin,2700125,1 g,injectable,powder for injection
cephalothin,Keflin,2700301,2 g,injectable,powder for injection
cephalothin,Keflin,2700310,2 g,injectable,powder for injection
ceFAZolin,Kefzol,2701101,1 g,injectable,powder for injection
ceFAZolin,Kefzol,2701110,1 g,injectable,powder for injection
ceFAZolin,Kefzol,2701401,10 g,injectable,powder for injection
ceFAZolin,Kefzol,2701416,10 g,injectable,powder for injection
tobramycin,Nebcin,2704001,1.2 g,injectable,powder for injection
tobramycin,Nebcin,2704016,1.2 g,injectable,powder for injection
cephalothin,Keflin,2706025,1 g,injectable,powder for injection
cefamandole,Mandol,2706101,1 g,injectable,powder for injection
cefamandole,Mandol,2706125,1 g,injectable,powder for injection
cefamandole,Mandol,2706401,2 g,injectable,powder for injection
cefamandole,Mandol,2706410,2 g,injectable,powder for injection
cefamandole,Mandol,2706801,1 g,injectable,powder for injection
cefamandole,Mandol,2706810,1 g,injectable,powder for injection
cefamandole,Mandol,2706825,1 g,injectable,powder for injection
cefamandole,Mandol,2706901,2 g,injectable,powder for injection
cefamandole,Mandol,2706910,2 g,injectable,powder for injection
cefamandole,Mandol,2707201,10 g,injectable,powder for injection
cefamandole,Mandol,2707216,10 g,injectable,powder for injection
tobramycin,Nebcin,2709001,40 mg/mL,injectable,solution
tobramycin,Nebcin,2709016,40 mg/mL,injectable,solution
ceFAZolin,Kefzol,2720201,1 g,injectable,powder for injection
ceFAZolin,Kefzol,2720274,1 g,injectable,powder for injection
cefamandole,Mandol,2720801,1 g,injectable,powder for injection
cefamandole,Mandol,2720874,1 g,injectable,powder for injection
cefTAZidime,Tazidime,2723001,500 mg,injectable,powder for injection
cefTAZidime,Tazidime,2723025,500 mg,injectable,powder for injection
cefTAZidime,Tazidime,2723101,1 g,injectable,powder for injection
cefTAZidime,Tazidime,2723125,1 g,injectable,powder for injection
cefTAZidime,Tazidime,2723401,2 g,injectable,powder for injection
cefTAZidime,Tazidime,2723410,2 g,injectable,powder for injection
cefTAZidime,Tazidime,2723801,1 g,injectable,powder for injection
cefTAZidime,Tazidime,2723810,1 g,injectable,powder for injection
cefTAZidime,Tazidime,2723901,2 g,injectable,powder for injection
cefTAZidime,Tazidime,2723910,2 g,injectable,powder for injection
cefTAZidime,Tazidime,2724101,6 g,injectable,powder for injection
cefTAZidime,Tazidime,2724116,6 g,injectable,powder for injection
cefTAZidime,Tazidime,2724501,1 g,injectable,powder for injection
cefTAZidime,Tazidime,2724524,1 g,injectable,powder for injection
cefTAZidime,Tazidime,2724601,2 g,injectable,powder for injection
cefTAZidime,Tazidime,2724624,2 g,injectable,powder for injection
cephalothin,Keflin,2726001,1 g,injectable,powder for injection
cephalothin,Keflin,2726025,1 g,injectable,powder for injection
cephalothin,Keflin,2726101,2 g,injectable,powder for injection
cephalothin,Keflin,2726110,2 g,injectable,powder for injection
ceFAZolin,Kefzol,2726501,500 mg,injectable,powder for injection
ceFAZolin,Kefzol,2726525,500 mg,injectable,powder for injection
ceFAZolin,Kefzol,2726601,1 g,injectable,powder for injection
ceFAZolin,Kefzol,2726625,1 g,injectable,powder for injection
cefamandole,Mandol,2726801,1 g,injectable,powder for injection
cefamandole,Mandol,2726825,1 g,injectable,powder for injection
cefamandole,Mandol,2726901,2 g,injectable,powder for injection
cefamandole,Mandol,2726910,2 g,injectable,powder for injection
cefuroxime,Kefurox,2727101,750 mg,injectable,powder for injection
cefuroxime,Kefurox,2727125,750 mg,injectable,powder for injection
cefuroxime,Kefurox,2727201,1.5 g,injectable,powder for injection
cefuroxime,Kefurox,2727210,1.5 g,injectable,powder for injection
cefuroxime,Kefurox,2727301,750 mg,injectable,powder for injection
cefuroxime,Kefurox,2727310,750 mg,injectable,powder for injection
cefuroxime,Kefurox,2727401,1.5 g,injectable,powder for injection
cefuroxime,Kefurox,2727410,1.5 g,injectable,powder for injection
cefuroxime,Kefurox,2727501,7.5 g,injectable,powder for injection
cefuroxime,Kefurox,2727516,7.5 g,injectable,powder for injection
cefuroxime,Kefurox,2727601,750 mg,injectable,powder for injection
cefuroxime,Kefurox,2727624,750 mg,injectable,powder for injection
cefuroxime,Kefurox,2727701,1.5 g,injectable,powder for injection
cefuroxime,Kefurox,2727724,1.5 g,injectable,powder for injection
cefuroxime,Kefurox,2727801,750 mg,injectable,powder for injection
cefuroxime,Kefurox,2727825,750 mg,injectable,powder for injection
cefuroxime,Kefurox,2727901,1.5 g,injectable,powder for injection
cefuroxime,Kefurox,2727910,1.5 g,injectable,powder for injection
cefTAZidime,Tazidime,2729001,1 g,injectable,powder for injection
cefTAZidime,Tazidime,2729025,1 g,injectable,powder for injection
cefTAZidime,Tazidime,2729101,2 g,injectable,powder for injection
cefTAZidime,Tazidime,2729110,2 g,injectable,powder for injection
tobramycin,Nebcin,2729301,60 mg,injectable,powder for injection
tobramycin,Nebcin,2729325,60 mg,injectable,powder for injection
tobramycin,Nebcin,2729401,80 mg,injectable,powder for injection
tobramycin,Nebcin,2729425,80 mg,injectable,powder for injection
vancomycin,Vancocin HCl,2729701,500 mg,intravenous,powder for injection
vancomycin,Vancocin HCl,2729710,500 mg,intravenous,powder for injection
vancomycin,Vancocin HCl,2729801,1 g,intravenous,powder for injection
vancomycin,Vancocin HCl,2729810,1 g,intravenous,powder for injection
vancomycin,Vancocin HCl,2732101,1 g,intravenous,powder for injection
vancomycin,Vancocin HCl,2732110,1 g,intravenous,powder for injection
vancomycin,Vancocin HCl,2732125,1 g,intravenous,powder for injection
vancomycin,Vancocin HCl,2735501,10 g,intravenous,powder for injection
tobramycin,Nebcin,2738125,40 mg/mL,injectable,solution
tobramycin,Nebcin,2738216,40 mg/mL,injectable,solution
vancomycin,Vancocin HCl,2746701,500 mg,intravenous,powder for injection
vancomycin,Vancocin HCl,2746712,5%-500 mg/100 mL,intravenous,solution
tobramycin,Tobramycin Sulfate,2898801,10 mg/mL,injectable,solution
tobramycin,Tobramycin Sulfate,2898925,40 mg/mL,injectable,solution
cefTAZidime,Tazidime,2900025,1 g,injectable,powder for injection
cefTAZidime,Tazidime,2900110,2 g,injectable,powder for injection
cefTAZidime,Tazidime,2900210,1 g,injectable,powder for injection
cefTAZidime,Tazidime,2900310,2 g,injectable,powder for injection
cefTAZidime,Tazidime,2900416,6 g,injectable,powder for injection
cefTAZidime,Tazidime,2900525,1 g,injectable,powder for injection
cefTAZidime,Tazidime,2900610,2 g,injectable,powder for injection
cefuroxime,Cefuroxime Sodium,2900999,750 mg,injectable,powder for injection
cefuroxime,Cefuroxime Sodium,2901099,1.5 g,injectable,powder for injection
cefuroxime,Cefuroxime Sodium,2901199,750 mg,injectable,powder for injection
cefuroxime,Cefuroxime Sodium,2901299,1.5 g,injectable,powder for injection
cefuroxime,Cefuroxime Sodium,2901399,7.5 g,injectable,powder for injection
amoxicillin,Trimox,3010120,250 mg,oral,capsule
amoxicillin,Trimox,3010130,250 mg,oral,capsule
amoxicillin,Trimox,3010150,250 mg,oral,capsule
amoxicillin,Trimox,3010151,250 mg,oral,capsule
amoxicillin,Trimox,3010160,250 mg,oral,capsule
amoxicillin,Trimox,3010920,500 mg,oral,capsule
amoxicillin,Trimox,3010930,500 mg,oral,capsule
amoxicillin,Trimox,3010945,500 mg,oral,capsule
amoxicillin,Trimox,3010951,500 mg,oral,capsule
amoxicillin,Trimox,3010955,500 mg,oral,capsule
amoxicillin,Trimox,3010960,500 mg,oral,capsule
amoxicillin,Trimox,3010970,500 mg,oral,capsule
cephradine,Velosef,3011324,250 mg,oral,capsule
cephradine,Velosef,3011350,250 mg,oral,capsule
cephradine,Velosef,3011426,500 mg,oral,capsule
cephradine,Velosef,3011450,500 mg,oral,capsule
penicillin,Veetids (obsolete),3011550,V potassium 250 mg,oral,tablet
penicillin,Veetids (obsolete),3011575,V potassium 250 mg,oral,tablet
penicillin,Veetids (obsolete),3011650,V potassium 500 mg,oral,tablet
penicillin,Veetids (obsolete),3011675,V potassium 500 mg,oral,tablet
ampicillin,Principen,3012250,250 mg,oral,capsule
ampicillin,Principen,3012251,250 mg,oral,capsule
ampicillin,Principen,3012260,250 mg,oral,capsule
ampicillin,Principen,3013450,500 mg,oral,capsule
ampicillin,Principen,3013451,500 mg,oral,capsule
ampicillin,Principen,3013460,500 mg,oral,capsule
tetracycline,Sumycin,3060343,500 mg,oral,tablet
tetracycline,Sumycin,3060350,500 mg,oral,tablet
penicillin,Penicillin G Potassium (obsolete),3063441,G potassium 1000000 units,injectable,powder for injection
tetracycline,Sumycin,3065540,250 mg,oral,capsule
tetracycline,Sumycin,3065546,250 mg,oral,capsule
tetracycline,Sumycin,3065560,250 mg,oral,capsule
tetracycline,Sumycin,3066345,250 mg,oral,tablet
tetracycline,Sumycin,3066375,250 mg,oral,tablet
penicillin,Penicillin G Sodium (obsolete),3066805,G sodium 5000000 units,injectable,powder for injection
penicillin,Penicillin G Potassium (obsolete),3067371,G potassium 5000000 units,injectable,powder for injection
penicillin,Veetids (obsolete),3068144,V potassium 125 mg/5 mL,oral,powder for reconstitution
penicillin,Veetids (obsolete),3068154,V potassium 125 mg/5 mL,oral,powder for reconstitution
penicillin,Veetids (obsolete),3068244,V potassium 250 mg/5 mL,oral,powder for reconstitution
penicillin,Veetids (obsolete),3068254,V potassium 250 mg/5 mL,oral,powder for reconstitution
penicillin,Penicillin G Potassium (obsolete),3073411,G potassium 10000000 units,injectable,powder for injection
penicillin,Penicillin G Potassium (obsolete),3073531,G potassium 20000000 units,injectable,powder for injection
cephalexin,Cephalexin Monohydrate,3074950,250 mg,oral,capsule
cephalexin,Cephalexin Monohydrate,3074960,250 mg,oral,capsule
tetracycline,Sumycin,3076340,500 mg,oral,capsule
tetracycline,Sumycin,3076350,500 mg,oral,capsule
doxycycline,Doxycycline Hyclate,3081240,hyclate 100 mg,oral,tablet
doxycycline,Doxycycline Hyclate,3081260,hyclate 100 mg,oral,tablet
doxycycline,Doxycycline Hyclate,3081401,hyclate 100 mg,oral,capsule
doxycycline,Doxycycline Hyclate,3081405,hyclate 100 mg,oral,capsule
tetracycline,Sumycin,3081550,125 mg/5 mL,oral,suspension
cephalexin,Cephalexin Monohydrate,3087450,500 mg,oral,capsule
cephalexin,Cephalexin Monohydrate,3087460,500 mg,oral,capsule
ampicillin,Principen,3096909,125 mg/5 mL,oral,powder for reconstitution
ampicillin,Principen,3096961,125 mg/5 mL,oral,powder for reconstitution
ampicillin,Principen,3097252,250 mg/5 mL,oral,powder for reconstitution
ampicillin,Principen,3097261,250 mg/5 mL,oral,powder for reconstitution
cephradine,Velosef,3119350,125 mg/5 mL,oral,powder for reconstitution
cephradine,Velosef,3119380,125 mg/5 mL,oral,powder for reconstitution
cephradine,Velosef,3119450,250 mg/5 mL,oral,powder for reconstitution
cephradine,Velosef,3119480,250 mg/5 mL,oral,powder for reconstitution
amoxicillin,Trimox,3173730,125 mg/5 mL,oral,powder for reconstitution
amoxicillin,Trimox,3173740,125 mg/5 mL,oral,powder for reconstitution
amoxicillin,Trimox,3173745,125 mg/5 mL,oral,powder for reconstitution
amoxicillin,Trimox,3173815,50 mg/mL,oral,powder for reconstitution
amoxicillin,Trimox,3173830,250 mg/5 mL,oral,powder for reconstitution
amoxicillin,Trimox,3173840,250 mg/5 mL,oral,powder for reconstitution
amoxicillin,Trimox,3173845,250 mg/5 mL,oral,powder for reconstitution
cephalexin,Cephalexin Monohydrate,3220130,125 mg/5 mL,oral,powder for reconstitution
cephalexin,Cephalexin Monohydrate,3220140,125 mg/5 mL,oral,powder for reconstitution
cephalexin,Cephalexin Monohydrate,3220230,250 mg/5 mL,oral,powder for reconstitution
cephalexin,Cephalexin Monohydrate,3220240,250 mg/5 mL,oral,powder for reconstitution
aztreonam,Azactam,3223051,1 g/50 mL,intravenous,solution
aztreonam,Azactam,3223101,1 g/50 mL,intravenous,solution
aztreonam,Azactam,3224051,2 g/50 mL,intravenous,solution
aztreonam,Azactam,3224101,2 g/50 mL,intravenous,solution
aztreonam,Azactam,3255010,500 mg,injectable,powder for injection
aztreonam,Azactam,3256010,1 g,injectable,powder for injection
aztreonam,Azactam,3256016,1 g,injectable,powder for injection
aztreonam,Azactam,3256020,1 g,injectable,powder for injection
aztreonam,Azactam,3257010,2 g,injectable,powder for injection
aztreonam,Azactam,3257016,2 g,injectable,powder for injection
aztreonam,Azactam,3257020,2 g,injectable,powder for injection
oxacillin,Oxacillin Sodium,3271110,500 mg,injectable,powder for injection
oxacillin,Oxacillin Sodium,3271210,1 g,injectable,powder for injection
oxacillin,Oxacillin Sodium,3271220,1 g,injectable,powder for injection
oxacillin,Oxacillin Sodium,3271525,10 g,injectable,powder for injection
tobramycin,Tobramycin,3272410,10 mg/mL,injectable,solution
tobramycin,Tobramycin Sulfate,3272510,40 mg/mL,injectable,solution
tobramycin,Tobramycin Sulfate,3272530,40 mg/mL,injectable,solution
cefepime,Maxipime,3773199,500 mg,injectable,powder for injection
cefepime,Maxipime,3773289,1 g,injectable,powder for injection
cefepime,Maxipime,3773295,1 g,injectable,powder for injection
cefepime,Maxipime,3773299,1 g,injectable,powder for injection
cefepime,Maxipime,3773395,2 g,injectable,powder for injection
cefepime,Maxipime,3773399,2 g,injectable,powder for injection
doxycycline,Doxycycline Hyclate,3870801,hyclate 50 mg,oral,capsule
sulfiSOXAZOLE,Gantrisin,4000901,500 mg,oral,tablet
sulfiSOXAZOLE,Gantrisin,4000914,500 mg,oral,tablet
sulfiSOXAZOLE,Gantrisin,4000949,500 mg,oral,tablet
sulfamethoxazole,Gantanol,4001001,500 mg,oral,tablet
sulfamethoxazole,Gantanol,4001049,500 mg,oral,tablet
trimethoprim,Trimpex,4012701,100 mg,oral,tablet
trimethoprim,Trimpex,4012749,100 mg,oral,tablet
sulfiSOXAZOLE,Gantrisin Pediatric,4100328,500 mg/5 mL,oral,suspension
sulfiSOXAZOLE,Gantrisin Pediatric,4100330,500 mg/5 mL,oral,suspension
cefTRIAXone,Rocephin,4196201,250 mg,injectable,powder for injection
cefTRIAXone,Rocephin,4196202,250 mg,injectable,powder for injection
cefTRIAXone,Rocephin,4196301,500 mg,injectable,powder for injection
cefTRIAXone,Rocephin,4196302,500 mg,injectable,powder for injection
cefTRIAXone,Rocephin,4196401,1 g,injectable,powder for injection
cefTRIAXone,Rocephin,4196402,1 g,injectable,powder for injection
cefTRIAXone,Rocephin,4196403,1 g,injectable,powder for injection
cefTRIAXone,Rocephin,4196404,1 g,injectable,powder for injection
cefTRIAXone,Rocephin ADD-Vantage,4196405,1 g,injectable,powder for injection
cefTRIAXone,Rocephin,4196501,2 g,injectable,powder for injection
cefTRIAXone,Rocephin,4196502,2 g,injectable,powder for injection
cefTRIAXone,Rocephin,4196503,2 g,injectable,powder for injection
cefTRIAXone,Rocephin ADD-Vantage,4196505,2 g,injectable,powder for injection
cefTRIAXone,Rocephin,4197101,10 g,injectable,powder for injection
cefTRIAXone,Rocephin,4200278,1 g/50 mL-iso-osmotic dextrose,intravenous,solution
cefTRIAXone,Rocephin,4200378,2 g/50 mL-iso-osmotic dextrose,intravenous,solution
doxycycline,Doxycycline Hyclate,5311618,hyclate 100 mg,oral,tablet
doxycycline,Doxycycline Hyclate,5311631,hyclate 100 mg,oral,tablet
dicloxacillin,Dicloxacillin Sodium,5313523,250 mg,oral,capsule
dicloxacillin,Dicloxacillin Sodium,5313623,500 mg,oral,capsule
amoxicillin,Amoxicillin,5314423,250 mg,oral,capsule
amoxicillin,Amoxicillin,5314431,250 mg,oral,capsule
amoxicillin,Amoxicillin,5314518,500 mg,oral,capsule
amoxicillin,Amoxicillin,5314531,500 mg,oral,capsule
amoxicillin,Amoxicillin,5314643,125 mg/5 mL,oral,powder for reconstitution
amoxicillin,Amoxicillin,5314646,125 mg/5 mL,oral,powder for reconstitution
amoxicillin,Amoxicillin,5314649,125 mg/5 mL,oral,powder for reconstitution
amoxicillin,Amoxicillin,5314743,250 mg/5 mL,oral,powder for reconstitution
amoxicillin,Amoxicillin,5314746,250 mg/5 mL,oral,powder for reconstitution
amoxicillin,Amoxicillin,5314749,250 mg/5 mL,oral,powder for reconstitution
cephalexin,Cephalexin Monohydrate,5322946,125 mg/5 mL,oral,powder for reconstitution
cephalexin,Cephalexin Monohydrate,5322960,125 mg/5 mL,oral,powder for reconstitution
cephalexin,Cephalexin Monohydrate,5323046,250 mg/5 mL,oral,powder for reconstitution
cephalexin,Cephalexin Monohydrate,5323060,250 mg/5 mL,oral,powder for reconstitution
cephalexin,Cephalexin Monohydrate,5333123,250 mg,oral,tablet
cephalexin,Cephalexin Monohydrate,5333223,500 mg,oral,tablet
cefaclor,Cefaclor,5335223,250 mg,oral,capsule
cefaclor,Cefaclor,5335323,500 mg,oral,capsule
cefaclor,Cefaclor,5335442,125 mg/5 mL,oral,powder for reconstitution
cefaclor,Cefaclor,5335449,125 mg/5 mL,oral,powder for reconstitution
cefaclor,Cefaclor,5335540,187 mg/5 mL,oral,powder for reconstitution
cefaclor,Cefaclor,5335546,187 mg/5 mL,oral,powder for reconstitution
cefaclor,Cefaclor,5335642,250 mg/5 mL,oral,powder for reconstitution
cefaclor,Cefaclor,5335649,250 mg/5 mL,oral,powder for reconstitution
cefaclor,Cefaclor,5335740,375 mg/5 mL,oral,powder for reconstitution
cefaclor,Cefaclor,5335746,375 mg/5 mL,oral,powder for reconstitution
cephradine,Cephradine,5340623,250 mg,oral,capsule
cephradine,Cephradine,5340723,500 mg,oral,capsule
cephalexin,Cephalexin Monohydrate,5341323,250 mg,oral,capsule
cephalexin,Cephalexin Monohydrate,5341423,500 mg,oral,capsule
ampicillin,Ampicillin,5358623,250 mg,oral,capsule
ampicillin,Ampicillin,5358631,250 mg,oral,capsule
ampicillin,Ampicillin,5358723,500 mg,oral,capsule
ampicillin,Ampicillin,5358731,500 mg,oral,capsule
ampicillin,Ampicillin,5358846,125 mg/5 mL,oral,powder for reconstitution
ampicillin,Ampicillin,5358860,125 mg/5 mL,oral,powder for reconstitution
ampicillin,Ampicillin,5358946,250 mg/5 mL,oral,powder for reconstitution
ampicillin,Ampicillin,5358960,250 mg/5 mL,oral,powder for reconstitution
erythromycin-sulfisoxazole,Erythromycin-Sulfisoxazole,5370046,200 mg-600 mg/5 mL,oral,granule for reconstitution
erythromycin-sulfisoxazole,Erythromycin-Sulfisoxazole,5370049,200 mg-600 mg/5 mL,oral,granule for reconstitution
erythromycin-sulfisoxazole,Erythromycin-Sulfisoxazole,5370060,200 mg-600 mg/5 mL,oral,granule for reconstitution
doxycycline,Doxycycline Hyclate,5376818,hyclate 100 mg,oral,capsule
doxycycline,Doxycycline Hyclate,5376831,hyclate 100 mg,oral,capsule
penicillin,Ledercillin VK (obsolete),5386523,V potassium 250 mg,oral,tablet
penicillin,Ledercillin VK (obsolete),5386534,V potassium 250 mg,oral,tablet
penicillin,Ledercillin VK (obsolete),5386561,V potassium 250 mg,oral,tablet
penicillin,Ledercillin VK (obsolete),5386623,V potassium 500 mg,oral,tablet
penicillin,Ledercillin VK (obsolete),5386631,V potassium 500 mg,oral,tablet
penicillin,Ledercillin VK (obsolete),5387446,V potassium 125 mg/5 mL,oral,powder for reconstitution
penicillin,Ledercillin VK (obsolete),5387449,V potassium 125 mg/5 mL,oral,powder for reconstitution
penicillin,Ledercillin VK (obsolete),5387460,V potassium 125 mg/5 mL,oral,powder for reconstitution
penicillin,Ledercillin VK (obsolete),5387546,V potassium 250 mg/5 mL,oral,powder for reconstitution
penicillin,Ledercillin VK (obsolete),5387549,V potassium 250 mg/5 mL,oral,powder for reconstitution
penicillin,Ledercillin VK (obsolete),5387560,V potassium 250 mg/5 mL,oral,powder for reconstitution
cefixime,Suprax,5389718,400 mg,oral,tablet
cefixime,Suprax,5389723,400 mg,oral,tablet
cefixime,Suprax,5389760,400 mg,oral,tablet
cefixime,Suprax,5389794,400 mg,oral,tablet
cefixime,Suprax,5389840,100 mg/5 mL,oral,powder for reconstitution
cefixime,Suprax,5389842,100 mg/5 mL,oral,powder for reconstitution
cefixime,Suprax,5389846,100 mg/5 mL,oral,powder for reconstitution
cefixime,Suprax,5389923,200 mg,oral,tablet
tetracycline topical,Achromycin,5479655,3%,topical,ointment
tetracycline,Tetracycline Hydrochloride,5487523,500 mg,oral,capsule
tetracycline,Tetracycline Hydrochloride,5487534,500 mg,oral,capsule
tetracycline,Tetracycline Hydrochloride,5488023,250 mg,oral,capsule
tetracycline,Tetracycline Hydrochloride,5488034,250 mg,oral,capsule
tetracycline,Tetracycline Hydrochloride,5488061,250 mg,oral,capsule
tetracycline,Tetracycline Hydrochloride,5488065,250 mg,oral,capsule
minocycline,Minocin,5531356,50 mg/5 mL,oral,suspension
minocycline,Minocin,5534323,50 mg,oral,capsule
minocycline,Minocin,5534327,50 mg,oral,capsule
minocycline,Minocin,5534418,100 mg,oral,capsule
minocycline,Minocin,5534427,100 mg,oral,capsule
demeclocycline,Declomycin,5921823,150 mg,oral,tablet
demeclocycline,Declomycin,5927029,300 mg,oral,tablet
minocycline,Minocin,5937523,50 mg,oral,tablet
minocycline,Minocin,5937618,100 mg,oral,tablet
norfloxacin,Noroxin,6070520,400 mg,oral,tablet
norfloxacin,Noroxin,6070528,400 mg,oral,tablet
norfloxacin,Noroxin,6070568,400 mg,oral,tablet
DACTINomycin,Cosmegen,6329822,0.5 mg,intravenous,powder for injection
cefOXitin,Mefoxin,6335645,1 g,injectable,powder for injection
cefOXitin,Mefoxin,6335753,2 g,injectable,powder for injection
cefOXitin,Mefoxin,6336871,1 g,injectable,powder for injection
cefOXitin,Mefoxin,6336973,2 g,injectable,powder for injection
cefOXitin,Mefoxin,6338867,10 g,injectable,powder for injection
cefOXitin,Mefoxin,6350624,1 g/50 mL,intravenous,solution
cefOXitin,Mefoxin,6350725,2 g,injectable,powder for injection
cefOXitin,Mefoxin,6354524,1 g/50 mL,intravenous,solution
cefOXitin,Mefoxin,6354725,2 g/50 mL,intravenous,solution
cefOXitin,Mefoxin,6354845,1 g,injectable,powder for injection
cefOXitin,Mefoxin,6354953,2 g,injectable,powder for injection
ertapenem,INVanz,6384371,1 g,injectable,powder for injection
ceFAZolin,Ancef,7313001,1 g,injectable,powder for injection
ceFAZolin,Ancef,7313016,1 g,injectable,powder for injection
ceFAZolin,Ancef,7313076,1 g,injectable,powder for injection
ceFAZolin,Ancef,7313116,500 mg,injectable,powder for injection
ceFAZolin,Ancef,7313176,500 mg,injectable,powder for injection
ceFAZolin,Ancef,7313505,10 g,injectable,powder for injection
ceFAZolin,Ancef,7313576,10 g,injectable,powder for injection
ceFAZolin,Ancef,7313605,5 g,injectable,powder for injection
ceFAZolin,Ancef,7313705,1 g,injectable,powder for injection
ceFAZolin,Ancef,7313776,1 g,injectable,powder for injection
ceFAZolin,Ancef,7314204,500 mg/50 mL,intravenous,solution
ceFAZolin,Ancef,7314304,1 g/50 mL-iso-osmotic dextrose,intravenous,solution
cefonicid,Monocid,7435301,1 g,injectable,powder for injection
cefonicid,Monocid,7435311,1 g,injectable,powder for injection
cefonicid,Monocid,7435376,1 g,injectable,powder for injection
cefonicid,Monocid,7435411,1 g,injectable,powder for injection
cefonicid,Monocid,7435476,1 g,injectable,powder for injection
cefTAZidime,Tazicef,7508216,1 g,injectable,powder for injection
cefTAZidime,Tazicef,7508276,1 g,injectable,powder for injection
cefTAZidime,Tazicef,7508311,1 g,injectable,powder for injection
cefTAZidime,Tazicef,7508376,1 g,injectable,powder for injection
cefTAZidime,Tazicef,7508411,2 g,injectable,powder for injection
